price,status,area,rate_per_sqft,property_type,locality,builder_name,rera_approval,bhk_count,society,company_name,flat_type
2623000.0,under construction,742,3540,3 BHK Apartment in Pyramid Altia,Sector 70,Just Plan Solution Pvt Ltd,True,3, Pyramid Altia,Pyramid,apartment
1284000.0,under construction,368,3500,1 BHK Apartment in Pyramid Altia,Sector 70,Just Plan Solution Pvt Ltd,True,1, Pyramid Altia,Pyramid,apartment
27000000.0,ready to move,3150,8571,4 BHK Apartment in ATS Tourmaline,Sector 109,Just Plan Solution Pvt Ltd,False,4, ATS Tourmal,ATS,apartment
15000000.0,under construction,1389,10799,3 BHK Apartment in Hero Homes Gurgaon,Sector 104,Just Plan Solution Pvt Ltd,True,3, Hero Homes Gurgaon,Hero,apartment
36000000.0,ready to move,3000,12000,4 BHK Apartment in DLF The Belaire,Sector 54,Just Plan Solution Pvt Ltd,False,4, DLF The Belaire,DLF,apartment
34200000.0,ready to move,2858,12000,4 BHK Apartment in DLF The Belaire,Sector 54,Pooja thapa,False,4, DLF The Belaire,DLF,apartment
49100000.0,ready to move,4098,12000,4 BHK Apartment in DLF The Belaire,Sector 54,Pooja thapa,False,4, DLF The Belaire,DLF,apartment
41100000.0,ready to move,3430,12000,4 BHK Apartment in DLF The Belaire,Sector 54,home,False,4, DLF The Belaire,DLF,apartment
15700000.0,under construction,2180,7202,4 BHK Apartment in Shapoorji Pallonji Joyville Gurugram Phase IV,Sector 102,Property In Gurgaon,True,4, Shapoorji Pallonji Joyville Gurugram Phase IV,Shapoorji,apartment
8293000.000000001,under construction,1215,6826,2 BHK Apartment in Shapoorji Pallonji Joyville Gurugram Phase IV,Sector 102,properties for sale in Gurgaon,True,2, Shapoorji Pallonji Joyville Gurugram Phase IV,Shapoorji,apartment
11600000.0,under construction,1692,6856,3 BHK Apartment in Shapoorji Pallonji Joyville Gurugram Phase IV,Sector 102,PROVIDENT CAPITAL,True,3, Shapoorji Pallonji Joyville Gurugram Phase IV,Shapoorji,apartment
6266000.0,under construction,915,6849,2 BHK Apartment in Shapoorji Pallonji Joyville Gurugram Phase IV,Sector 102,Saatvik Homes Decor,True,2, Shapoorji Pallonji Joyville Gurugram Phase IV,Shapoorji,apartment
7500000.0,under construction,1457,5147,2 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,Saatvik Homes Decor,True,2, Eldeco Acclaim,Eldeco,apartment
6500000.0,under construction,1264,5142,2 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,Saatvik Homes Decor,True,2, Eldeco Acclaim,Eldeco,apartment
29100000.0,ready to move,2343,12419,3 BHK Apartment in Sobha City,Sector 108,Saatvik Homes Decor,False,3, Sobha City,Sobha,apartment
8197000.0,under construction,1242,6600,2 BHK Apartment in M3M Natura,Sector 68,sumit pratap,True,2, M3M Natura,M3M,apartment
9754000.0,under construction,1478,6600,2 BHK Apartment in M3M Natura,Sector 68,sumit pratap,True,2, M3M Natura,M3M,apartment
8830000.0,under construction,1528,5778,2 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Growmax Wealth Management Services,True,2, Godrej Nature Plus,Godrej,apartment
7900000.0,under construction,1385,5703,2 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Just Plan Solution Pvt Ltd,True,2, Godrej Nature Plus,Godrej,apartment
9390000.0,under construction,1557,6030,3 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Just Plan Solution Pvt Ltd,True,3, Godrej Nature Plus,Godrej,apartment
12100000.0,under construction,1898,6375,3 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Just Plan Solution Pvt Ltd,True,3, Godrej Nature Plus,Godrej,apartment
13300000.0,under construction,1929,6894,3 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Just Plan Solution Pvt Ltd,True,3, Godrej Nature Plus,Godrej,apartment
9542000.0,under construction,1255,7603,2 BHK Apartment in Central Park Cerise Floors,Sector 33 Sohna,Just Plan Solution Pvt Ltd,True,2, Central Park Cerise Floors,Central,apartment
9200000.0,under construction,1210,7603,2 BHK Apartment in Central Park Cerise Floors,Sector 33 Sohna,Just Plan Solution Pvt Ltd,True,2, Central Park Cerise Floors,Central,apartment
7953000.0,under construction,1243,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Just Plan Solution Pvt Ltd,True,2, M3M Sierra 68,M3M,apartment
7845000.0,under construction,1226,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,home,True,2, M3M Sierra 68,M3M,apartment
7831999.999999999,under construction,1224,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Property In Gurgaon,True,2, M3M Sierra 68,M3M,apartment
7819000.0,under construction,1222,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,properties for sale in Gurgaon,True,2, M3M Sierra 68,M3M,apartment
2314000.0,under construction,643,3600,3 BHK Apartment in GLS Arawali Homes 2,Sector 4 Sohna,Just Plan Solution Pvt Ltd,True,3, GLS Arawali Homes 2,GLS,apartment
